variable,label,type,value_labels,has_value_labels
date,Surveyed Date,POSIXct,NA,FALSE
endDate,Surveyed End Date,POSIXct,NA,FALSE
incompleteResultLabel,Incomplete,character,NA,FALSE
resultId,Result Id,numeric,NA,FALSE
device,Device Name,character,NA,FALSE
Q1,AGEB,numeric,NA,FALSE
Q2,Distrito electoral local,numeric,NA,FALSE
Q3,Numero encuestador,numeric,NA,FALSE
Q4,"En comparacion con el ano pasado, Diria usted que su situacion economica personal ha mejorado, ha empeorado o sigue igual? (Aclaracion: situación de lo que va de 2023 con respecto a 2022)",haven_labelled,Empeorado mucho=1; Empeorado algo=2; Igual=3; Mejorado algo=4; Mejorado mucho=5; NS/NC=6,TRUE
Q5,"Con el total del ingreso familiar, usted diria que...? (En 2023)",haven_labelled,"Les alcanza bien y pueden ahorrar=1; Les alcanza justo, sin grandes dificultades=2; No les alcanza y tienen dificultades=3; No les alcanza y tienen grandes dificultades=4; NS/NC=5",TRUE
Q6,"En su familia, hay por lo menos 1 o mas estudiantes de CUALQUIER nivel educativo?",haven_labelled,Sí=1; No=2,TRUE
Q7,"En una escala del 1 al 10, que tan satisfecho esta con la educacion que recibe? EDUCACION BASICA: PRIMARIA Y SECUNDARIA",character,NA,FALSE
Q8,"SOLO SI CONTESTO DEL 1 al 6, por que no se siente satisfecho? EDUCACION BASICA (Si contesto 7 o mas, dejar vacio)",character,NA,FALSE
Q9,Indique si la escuela BASICA es publica o privada,haven_labelled,Publica=1; Privada=2,TRUE
Q10,"En una escala del 1 al 10, que tan satisfecho esta con la educacion que recibe? EDUCACION MEDIA",character,NA,FALSE
Q11,"SOLO SI CONTESTO DEL 1 al 6, por que no se siente satisfecho? EDUCACION MEDIA (Si contesto 7 o mas, dejar vacio)",character,NA,FALSE
Q12,Indique si la escuela MEDIA es publica o privada,haven_labelled,Publica=1; Privada=2,TRUE
Q13,"En una escala del 1 al 10, que tan satisfecho esta con la educacion que recibe? EDUCACION SUPERIOR",character,NA,FALSE
Q14,"SOLO SI CONTESTO DEL 1 al 6, por que no se siente satisfecho? EDUCACION MEDIA (Si contesto 7 o mas, dejar vacio)",character,NA,FALSE
Q15,Indique si la escuela SUPERIOR es publica o privada,haven_labelled,Publica=1; Privada=2,TRUE
Q16.1,"Actividades dentro del hogar (internet, tv, radio, lectura, ejercicio, videojuegos, etc.)",haven_labelled,Sí=1; No=2,TRUE
Q16.2,Fue a un parque o estuvo en contacto con la naturaleza,haven_labelled,Sí=1; No=2,TRUE
Q16.3,Visito un centro y/o plaza comercial,haven_labelled,Sí=1; No=2,TRUE
Q16.4,Visito las segundas y/o bazares,haven_labelled,Sí=1; No=2,TRUE
Q16.5,"Fue a una cantina, bar o antro",haven_labelled,Sí=1; No=2,TRUE
Q16.6,Fue al cine,haven_labelled,Sí=1; No=2,TRUE
Q16.7,Asistio a una biblioteca,haven_labelled,Sí=1; No=2,TRUE
Q16.8,Asistio a un concierto o espectaculo de musica,haven_labelled,Sí=1; No=2,TRUE
Q16.9,"Asistio a una feria, fiesta popular o festividad religiosa",haven_labelled,Sí=1; No=2,TRUE
Q16.10,"Asistio a un museo, galeria o casa de cultura",haven_labelled,Sí=1; No=2,TRUE
Q16.11,Vio un espectaculo de teatro o danza (artes escenicas),haven_labelled,Sí=1; No=2,TRUE
Q16.12,"Visito una zona historica o arqueologica, monumentos",haven_labelled,Sí=1; No=2,TRUE
Q16.13,"Asistio a conferencias, conservatorios, coloquios",haven_labelled,Sí=1; No=2,TRUE
Q16.14,Asistio o participo en un evento deportivo,haven_labelled,Sí=1; No=2,TRUE
Q16.15,"Realizo ejercicio o actividad fisica (Gym, correr, bicibleta, caminar, etc.)",haven_labelled,Sí=1; No=2,TRUE
Q17.1,IMSS,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.2,ISSSTE,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.3,IMSS Bienestar,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.4,Medicos de farmacias/genéricos,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.5,Servicio medico privado/particulares,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.6,No tiene servicio medico,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.7,Otro (especifique cuál):,haven_labelled,Not Selected=0; Selected=1,TRUE
Q17.7.1,Other,character,NA,FALSE
Q18,"Aunque ya menciono cual servicio medico tiene, cual es el que USA? (Al que MAS acude/usa cuando se enferma)",haven_labelled,IMSS=1; ISSSTE=2; IMSS Bienestar=3; Médicos de farmacias/genericos=4; Servicio medico privado/particulares=5; No usa ningún tipo de servicio medico=6; Otro (especifique cuál):=7,TRUE
Q18.1.1,Other,character,NA,FALSE
Q19,"En una escala del 1 al 10, que tan satisfecho/a esta en GENERAL con los servicios de salud que recibe del servicio médico que mas USA?",character,NA,FALSE
Q20,"En escala del 1 al 10, que tan satisfecho esta con las INSTALACIONES del servicio medico que usa?",character,NA,FALSE
Q21,"En escala del 1 al 10, que tan satisfecho esta con el TIEMPO QUE TARDA EN SER ATENDIDO del servicio medico que usa?",character,NA,FALSE
Q22,"En escala del 1 al 10, que tan satisfecho está con la DISPONIBILIDAD DE MEDICINAS del servicio médico que usa?",character,NA,FALSE
Q23,"En escala del 1 al 10, que tan satisfecho está con la ATENCION RECIBIDA del servicio medico que usa?",character,NA,FALSE
